Reporting_Year / Année;NPRI_ID / No_INRP;Facility_Name / Installation;Company_Name / Dénomination_sociale_de_l'entreprise;NAICS / Code_SCIAN;Province / Province;CAS_Number / No_CAS;Substance Name (English) / Nom de substance (Anglais);Substance Name (French) / Nom de substance (Français);Group (English) / Groupe (Anglais);Group (French) / Groupe (Français);Category (English) / Catégorie (Anglais);Category (French) / Catégorie (Français);Quantity / Quantité;Units / Unités;Estimation_Method / Méthode_d’estimation 
2014;99;DIVISION LARONDE;MINES AGNICO EAGLE LIMITÉE;212220;QC;NA - 01;Antimony (and its compounds);Antimoine (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.08;tonnes;C
2014;99;DIVISION LARONDE;MINES AGNICO EAGLE LIMITÉE;212220;QC;NA - 03;Cadmium (and its compounds);Cadmium (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.333;kg;C
2014;99;DIVISION LARONDE;MINES AGNICO EAGLE LIMITÉE;212220;QC;NA - 17;Nitrate ion in solution at pH >= 6.0;Nitrate (ion en sol. à un pH de >= 6.0);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;245.394;tonnes;C
2014;99;DIVISION LARONDE;MINES AGNICO EAGLE LIMITÉE;212220;QC;NA - 10;Mercury (and its compounds);Mercure (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.159;kg;C
2014;99;DIVISION LARONDE;MINES AGNICO EAGLE LIMITÉE;212220;QC;NA - 02;Arsenic (and its compounds);Arsenic (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;6.24;kg;C
2014;99;DIVISION LARONDE;MINES AGNICO EAGLE LIMITÉE;212220;QC;NA - 08;Lead (and its compounds);Plomb (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;1.447;kg;C
2014;99;DIVISION LARONDE;MINES AGNICO EAGLE LIMITÉE;212220;QC;NA - 16;Ammonia (total);Ammoniac (total);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;8.03;tonnes;C
2014;99;DIVISION LARONDE;MINES AGNICO EAGLE LIMITÉE;212220;QC;NA - 12;Selenium (and its compounds);Sélénium (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;248.809;kg;C
2014;322;GENERAL DYNAMIC OTS-CANADA VALLEYFIELD INC.;GENERAL DYNAMICS OTS- CANADA VALLEYFIELD INC.;325920;QC;55-63-0;Nitroglycerin;Nitroglycérine;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;1.3;tonnes;E1
2014;765;AXIALL CANADA INC.;AXIALL CANADA INC.;325181;QC;NA - D/F;Dioxins and furans - total;Dioxines et furanes - totales;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0;g_teq_et;C
2014;929;USINE DE GATINEAU;PRODUITS FORESTIERS RÉSOLU;322122;QC;NA - 03;Cadmium (and its compounds);Cadmium (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;11.512;kg;E2
2014;929;USINE DE GATINEAU;PRODUITS FORESTIERS RÉSOLU;322122;QC;NA - 06;Copper (and its compounds);Cuivre (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.042;tonnes;M3
2014;929;USINE DE GATINEAU;PRODUITS FORESTIERS RÉSOLU;322122;QC;NA - 02;Arsenic (and its compounds);Arsenic (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;13.373;kg;E2
2014;929;USINE DE GATINEAU;PRODUITS FORESTIERS RÉSOLU;322122;QC;NA - 19;Hexavalent chromium (and its compounds);Chrome hexavalent (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;8.95;kg;E2
2014;929;USINE DE GATINEAU;PRODUITS FORESTIERS RÉSOLU;322122;QC;NA - 10;Mercury (and its compounds);Mercure (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;1.111;kg;E2
2014;929;USINE DE GATINEAU;PRODUITS FORESTIERS RÉSOLU;322122;QC;NA - 22;Phosphorus (total);Phosphore (total);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;15.156;tonnes;E2
2014;929;USINE DE GATINEAU;PRODUITS FORESTIERS RÉSOLU;322122;QC;NA - 09;Manganese (and its compounds);Manganèse (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;14.984;tonnes;E2
2014;929;USINE DE GATINEAU;PRODUITS FORESTIERS RÉSOLU;322122;QC;NA - 16;Ammonia (total);Ammoniac (total);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;7.383;tonnes;E2
2014;929;USINE DE GATINEAU;PRODUITS FORESTIERS RÉSOLU;322122;QC;NA - 14;Zinc (and its compounds);Zinc (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.428;tonnes;M3
2014;929;USINE DE GATINEAU;PRODUITS FORESTIERS RÉSOLU;322122;QC;NA - 08;Lead (and its compounds);Plomb (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;34.546;kg;M3
2014;979;USINE KÉNOGAMI;PRODUITS FORESTIERS RÉSOLU;322122;QC;NA - 03;Cadmium (and its compounds);Cadmium (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;3.73;kg;E2
2014;979;USINE KÉNOGAMI;PRODUITS FORESTIERS RÉSOLU;322122;QC;NA - 09;Manganese (and its compounds);Manganèse (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;4.8506;tonnes;E2
