Year of last filed report / L'année de la déclaration la plus récente;NPRI ID / ID INRP;Company Name / Raison Sociale;Facility Name / Nom de l'installation;Address line 1 / Première ligne d’adresse;Address line 2 / Deuxième ligne d’adresse;City / Ville;Province / Province;Postal Code / Code postal;Physical Land Survey Description / Description de l'arpentage;Physical National Topographical Description / Description topographique nationale;Latitude / Latitude;Longitude / Longitude;Datum / Datum;Key Industrial Sector Code / Code des Secteurs industriels clés;Key Industrial Sector (English) / Secteurs industriels clés (Anglais);Key Industrial Sector (French) / Secteurs industriels clés (Français);Census Sub Division Unique ID / No unique de la Subdivision de recensement (SDR);Census Sub Division / Nom de la Subdivision de recensement (SDR);Census Metropolitan Area Unique ID / No unique de la Région métropolitaine de recensement;Census Metropolitan Area / Nom de la Région métropolitaine de recensement;Economic Region Unique ID / No unique de la Région économique;Economic Region Name / Nom de la  Région économique;Unique Ecozone ID / No unique de l’Écozone;English Ecozone Name / Nom englais de l’Écozone;French Ecozone Name / Nom français de l’Écozone;Unique ID of the Major Drainage Area from the Water Survey of Canada (WSC) / No unique de l’aire de drainage principale des Relevés hydrologiques du Canada (RHC);Major Drainage Area English Name / Nom englais de l’aire de drainage principale ;Major Drainage Area French Name / Nom français de l’aire de drainage principale 
2014;49;ADS inc.;Texel Matériaux Enduits;1145 Bélanger Rue;;Sherbrooke;QC;J1K2B1;;;45.388;-71.9428;1983;13;Plastics and Rubber;Plastiques et caoutchouc;2443027;Sherbrooke;433;Sherbrooke;2430;Estrie;7;Atlantic Maritime;Maritime de l'Atlantique;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2009;52;BÉTONEL;USINE DE TERREBONNE;4170 Nancy;;Terrebonne;QC;J6X4H4;;;45.7406;-73.6942;1983;3;Chemicals;Produits chimiques;2464008;Terrebonne;462;Montréal;2450;Lanaudière;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;57;Bombardier Inc.;USINE DE LA POCATIÈRE;130 230 Route;;La Pocatière;QC;G0R1Z0;;;47.3594;-70.0509;1983;15;Transportation Equipment Mfg.;Fabrication de matériel de transport;2414085;La Pocatière;;;2415;Bas-Saint-Laurent;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2004;78;GE BETZ CANADA;N/A;75, Hymus Blvd;;Pointe-Claire;QC;H9R1E2;;;45.4542;-73.8278;1983;3;Chemicals;Produits chimiques;2466097;Pointe-Claire;462;Montréal;2440;Montréal;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;99;Mines Agnico Eagle Limitée;Division Laronde;10200 Route de Preissac;;Rouyn-Noranda;QC;J0Y1C0;;;48.2375;-78.3958;1983;8;Mining and Quarrying;Extraction minière et exploitation en carrière;2486042;Rouyn-Noranda;485;Rouyn-Noranda;2465;Abitibi - Témiscamingue;6;Boreal Shield;Bouclier boréal;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2007;100;LES PRODUITS AGROB;LES PRODUITS AGROB - MERCIER;1143 Boul St-Jean-Baptiste;;Mercier;QC;J6R2L1;;;45.3004;-73.7522;1983;;;;2467045;Mercier;462;Montréal;2435;Montérégie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;105;Aldex Chemical Co. Ltd.;ALDEX CHEMICAL;630 Laurent Rue;;Granby;QC;J2G8V1;;;45.3907;-72.7547;1983;6;Other Manufacturing;Autres fabrication;2447015;Granby;450;Granby;2435;Montérégie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2012;116;PROGRESS PLASTIQUES CIE.;USINE RUE CANADIEN;2400 Canadien;;Drummondville;QC;J2C7W3;;;45.8795;-72.5458;1983;3;Chemicals;Produits chimiques;2449058;Drummondville;447;Drummondville;2433;Centre-du-Québec;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2007;7;HEXION SPECIALTY CHEMICALS CANADA INC.;HEXION - LAVAL;2075 Francis Hughes;;Laval;QC;H7S1N5;;;45.5797;-73.7217;1983;3;Chemicals;Produits chimiques;2465005;Laval;462;Montréal;2445;Laval;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2012;18;NOVELIS INC.;USINE SAGUENAY;2040 Fay;;Jonquière;QC;G7S4K6;;;48.4211;-71.1898;1983;1;Aluminum;Aluminium;2494068;Saguenay;408;Saguenay;2475;Saguenay - Lac-Saint-Jean;6;Boreal Shield;Bouclier boréal;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;40;Masonite International Corporation;Lemieux;350 rue du Parc Industriel Street;;Windsor;QC;J1S 2T2;;;45.582729;-71.995388;1983;19;Wood Products;Produits en bois;2442088;Windsor;;;2430;Estrie;7;Atlantic Maritime;Maritime de l'Atlantique;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;156;Canada Colors & Chemicals Ltd.;MONTREAL FACILITY;9999  Trans-Canada Highway;;Saint-Laurent;QC;H4S1V1;;;45.4939;-73.7615;1983;11;Other (Except Manufacturing);Autres (sauf fabrication);2466023;Montréal;462;Montréal;2440;Montréal;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;158;Canada Metal (Est) (2010) Ltée;Usine St-Léonard;8271 Lafrenaie Rue Nord;;Saint-Léonard;QC;H1P2B1;;;45.5973;-73.5841;1983;7;Metals (Except Aluminum and Iron and Steel);Métaux (sauf aluminium et fer et acier);2466023;Montréal;462;Montréal;2440;Montréal;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2010;165;BUNGE CANADA HOLDINGS I ULC;BUNGE CANADA - MONTRÉAL PLANT;1260 Mill Street;;Montréal;QC;H3K2B5;;;45.4889;-73.5516;1983;6;Other Manufacturing;Autres fabrication;2466023;Montréal;462;Montréal;2440;Montréal;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
